country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Buenos Aires,Chacabuco - La Boca,Perfect Orders,0.904422283,0.905365229,0.8988245358,-0.0009429460000000001,0.005597747200000058
AR,Buenos Aires,Chacabuco - La Boca,Pro Adoption (Last Week Status),0.411334858,0.388440728,0.3814234017,0.022894130000000013,0.029911456300000028
AR,Buenos Aires,Chacabuco - La Boca,Restaurants Markdowns / GMV,0.1198550341,0.1179119752,0.1110451856,0.0019430588999999887,0.008809848499999995
AR,Buenos Aires,Chacabuco - La Boca,Restaurants SS > ATC CVR,0.5610488184,0.5579940095,0.5528481199,0.0030548088999999834,0.008200698499999937
AR,Buenos Aires,Chacabuco - La Boca,Restaurants SST > SS CVR,0.9437804521,0.9459259318,0.9443393415,-0.002145479700000008,-0.00055888940000004
AR,Buenos Aires,Chacabuco - La Boca,Retail SST > SS CVR,0.8935365617,0.9029172778,0.9058425797,-0.00938071610000002,-0.012306018000000085
AR,Buenos Aires,Chacabuco - La Boca,Turbo Adoption,0.4579641906,0.4424794895,0.4844370437,0.015484701099999998,-0.026472853100000027
AR,Buenos Aires,Claypole,% PRO Users Who Breakeven,0.390625,0.3673469388,0.3604651163,0.023278061199999978,0.0301598837
AR,Buenos Aires,Claypole,% Restaurants Sessions With Optimal Assortment,0.796294497,0.8022757165,0.7551108369,-0.005981219499999968,0.041183660099999964
AR,Buenos Aires,Claypole,Gross Profit UE,0.9032127958,1.588534109,0.8532812584,-0.6853213132,0.0499315374
AR,Buenos Aires,Claypole,Lead Penetration,0.1317569522,0.1266956054,0.1235373483,0.005061346800000005,0.008219603899999997
AR,Buenos Aires,Claypole,MLTV Top Verticals Adoption,0.1471816671,0.1473282964,0.1311930169,-0.0001466293000000063,0.01598865020000001
AR,Buenos Aires,Claypole,Non-Pro PTC > OP,0.7454194963,0.761039636,0.7694329629,-0.01562013969999998,-0.024013466599999922
AR,Buenos Aires,Claypole,Perfect Orders,0.9048753761,0.9112793936,0.8967114983,-0.00640401749999997,0.008163877800000052
AR,Buenos Aires,Claypole,Pro Adoption (Last Week Status),0.2710280374,0.2532751092,0.2537154989,0.017752928199999962,0.017312538499999974
AR,Buenos Aires,Claypole,Restaurants Markdowns / GMV,0.1019046725,0.09908937146,0.09723818009,0.0028153010399999956,0.0046664924100000005
AR,Buenos Aires,Claypole,Restaurants SS > ATC CVR,0.4861250839,0.4663671945,0.472748096,0.01975788939999995,0.01337698789999997
AR,Buenos Aires,Claypole,Restaurants SST > SS CVR,0.9209981101,0.9200826055,0.9101952158,0.0009155046000000056,0.010802894300000032
AR,Buenos Aires,Claypole,Retail SST > SS CVR,0.8342528302,0.8499430183,0.8599143843,-0.015690188100000002,-0.02566155410000004
AR,Buenos Aires,DEL_VISO,% PRO Users Who Breakeven,0.1030927835,0.1063829787,0.07894736842,-0.0032901952000000123,0.024145415079999996
AR,Buenos Aires,DEL_VISO,% Restaurants Sessions With Optimal Assortment,0.0,0.0,0.0,0.0,0.0
AR,Buenos Aires,DEL_VISO,Gross Profit UE,-2.586875096,-0.6683578153,-1.08326101,-1.9185172807,-1.503614086
AR,Buenos Aires,DEL_VISO,Lead Penetration,0.2342883005,0.2315239826,0.2429117244,0.0027643178999999796,-0.00862342390000001
AR,Buenos Aires,DEL_VISO,MLTV Top Verticals Adoption,0.02477765133,0.02470924347,0.02193009085,6.840786000000126e-05,0.0028475604800000005
AR,Buenos Aires,DEL_VISO,Non-Pro PTC > OP,0.6434019554,0.6449388044,0.698322623,-0.0015368489999999513,-0.05492066760000003
AR,Buenos Aires,DEL_VISO,Perfect Orders,0.7407316355,0.7460957793,0.7479100884,-0.005364143800000054,-0.007178452899999965
AR,Buenos Aires,DEL_VISO,Pro Adoption (Last Week Status),0.1858108108,0.1836734694,0.1647398844,0.0021373413999999924,0.021070926399999995
